Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
126062562,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619632217""","=""9781619632219""",0,Bloomsbury Publishing,Kindle Edition,451,2023,2014,,2026/09/11,,,read,,,,1,0
76714487,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731040""","=""9781639731046""",0,Bloomsbury Publishing,Hardcover,688,2023,2017,,2026/09/11,,,read,,,,1,0
123004944,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,Bloomsbury Publishing,Kindle Edition,689,2015,2015,,2026/09/11,,,read,,,,1,0
76713323,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639731024""","=""9781639731022""",0,Bloomsbury Publishing,Hardcover,733,2023,2016,,2026/09/11,,,read,,,,1,0
76706470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",0,Bloomsbury USA Childrens,Hardcover,576,2023,2014,,2026/09/11,,,read,,,,1,0
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408884429""","=""9781408884423""",0,Bloomsbury Publishing,Hardcover,805,2022,2022,,2026/09/11,,,read,,,,1,0
76705490,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1639730966""","=""9781639730964""",0,Bloomsbury Publishing,Hardcover,420,2023,2013,,2026/09/11,,,read,,,,1,0
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",0,Bloomsbury Publishing,Hardcover,803,2020,2020,,2026/09/11,,,read,,,,1,0
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575621""","=""9781635575620""",0,Bloomsbury Publishing,Paperback,272,2020,2018,,2026/09/11,,,read,,,,1,0
76703559,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""163973094X""","=""9781639730940""",0,Bloomsbury Publishing,Hardcover,406,2023,2012,,2026/09/11,,,read,,,,1,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",0,Bloomsbury Publishing,Paperback,699,2020,2017,,2026/09/11,,,read,,,,1,0
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""168119628X""","=""9781681196282""",0,Bloomsbury Publishing,Hardcover,757,2021,2021,,2026/09/11,,,read,,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",0,Bloomsbury Publishing,Paperback,626,2020,2016,,2026/09/11,,,read,,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,Bloomsbury Publishing,Paperback,419,2020,2015,,2026/09/11,,,read,,,,1,0
